pathway,n_genes_pathway,n_genes_found,mean_rank,median_rank,pvalue,u_statistic,fdr_q
Peptide Hormone Secretion (GO:0030072),25,5,1981.8,2207.0,0.5071409579695887,9894.0,0.8703390083729832
Positive Regulation Of Fat Cell Differentiation (GO:0045600),50,3,1985.3333333333333,1736.0,0.5074178875749022,5950.0,0.8703390083729832
Cellular Defense Response (GO:0006968),48,2,1987.0,1987.0,0.5074526762964532,3971.0,0.8703390083729832
Neuron Cell-Cell Adhesion (GO:0007158),14,2,1987.0,1987.0,0.5074526762964532,3971.0,0.8703390083729832
Entrainment Of Circadian Clock By Photoperiod (GO:0043153),23,3,1985.6666666666667,2558.0,0.5076080726270703,5951.0,0.8703390083729832
Photoperiodism (GO:0009648),24,3,1985.6666666666667,2558.0,0.5076080726270703,5951.0,0.8703390083729832
Establishment Of Protein Localization To Membrane (GO:0090150),69,7,1980.857142857143,2033.0,0.5076500075170922,13838.0,0.8703390083729832
Regulation Of Apoptotic Signaling Pathway (GO:2001233),45,5,1983.2,1890.0,0.5082043750673566,9901.0,0.8704237601862954
Regulation Of Neuroblast Proliferation (GO:1902692),24,4,1984.75,1955.5,0.50836966814978,7929.0,0.8704237601862954
Regulation Of Axonogenesis (GO:0050770),42,3,1987.3333333333333,1549.0,0.5085589777256992,5956.0,0.8704237601862954
Negative Regulation Of Signaling (GO:0023057),28,1,2009.0,2009.0,0.509381338742382,2008.0,0.8710566687128876
Regulation Of Transport (GO:0051049),44,1,2011.0,2011.0,0.5098884381338626,2010.0,0.8710566687128876
Cellular Response To Nerve Growth Factor Stimulus (GO:1990090),21,3,1989.6666666666667,1567.0,0.509890182263049,5963.0,0.8710566687128876
Response To Lipid (GO:0033993),110,11,1981.4545454545455,2183.0,0.5104713864289382,21730.0,0.8710566687128876
Skeletal Muscle Organ Development (GO:0060538),35,5,1986.2,2045.0,0.5104829352261132,9916.0,0.8710566687128876
Ganglion Development (GO:0061548),11,1,2014.0,2014.0,0.5106490872210838,2013.0,0.8710566687128876
Negative Regulation Of Binding (GO:0051100),86,6,1985.8333333333333,1611.0,0.5112316171016767,11894.0,0.8715609723652603
Positive Regulation Of Lipid Kinase Activity (GO:0090218),30,5,1988.8,2048.0,0.51245743364191,9929.0,0.872991179341588
Negative Regulation Of Proteolysis (GO:0045861),41,3,1995.0,1810.0,0.5129326053735137,5979.0,0.872991179341588
3'-UTR-mediated mRNA Stabilization (GO:0070935),18,3,1995.0,2020.0,0.5129326053735137,5979.0,0.872991179341588
Lysosomal Lumen Acidification (GO:0007042),18,3,1997.6666666666667,2114.0,0.5144536122725112,5987.0,0.8737972203490015
Cellular Response To Amyloid-Beta (GO:1904646),34,1,2031.0,2031.0,0.5149594320486701,2030.0,0.8737972203490015
Response To Amyloid-Beta (GO:1904645),43,1,2031.0,2031.0,0.5149594320486701,2030.0,0.8737972203490015
Membrane Assembly (GO:0071709),38,4,1994.75,1700.0,0.5151303570996911,7969.0,0.8737972203490015
Positive Regulation Of Viral Life Cycle (GO:1903902),22,1,2033.0,2033.0,0.515466531440151,2032.0,0.8737972203490015
Secondary Palate Development (GO:0062009),13,2,2003.0,2003.0,0.5154736691566794,4003.0,0.8737972203490015
Positive Regulation Of Mitotic Cell Cycle (GO:0045931),27,3,2000.0,1962.0,0.5157843637473498,5994.0,0.8737972203490015
Positive Regulation Of Neuron Differentiation (GO:0045666),42,4,1996.0,1788.0,0.5159751617633731,7974.0,0.8737972203490015
Steroid Biosynthetic Process (GO:0006694),50,3,2001.3333333333333,1097.0,0.5165447342828519,5998.0,0.8737972203490015
Response To Cytokine (GO:0034097),125,9,1988.2222222222222,1594.0,0.5165976484433265,17849.0,0.8737972203490015
Neuron Projection Morphogenesis (GO:0048812),146,12,1986.3333333333333,2236.5,0.5168602768052893,23758.0,0.8737972203490015
Glucose Import (GO:0046323),12,2,2006.0,2006.0,0.5169702746901975,4009.0,0.8737972203490015
Synapse Assembly (GO:0007416),71,4,1998.0,2100.5,0.5173266900559923,7982.0,0.8737972203490015
"Maturation Of SSU-rRNA From Tricistronic rRNA Transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000462)",30,3,2003.0,1410.0,0.5174951333686955,6003.0,0.8737972203490015
Regulation Of Intracellular Signal Transduction (GO:1902531),297,27,1982.1851851851852,1788.0,0.5177205387189607,53141.0,0.8737972203490015
"Endonucleolytic Cleavage Of Tricistronic rRNA Transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000479)",13,2,2008.5,2008.5,0.518215709766814,4014.0,0.8740445781764139
Cellular Response To Amino Acid Stimulus (GO:0071230),35,3,2004.6666666666667,2188.0,0.5184454573845573,6008.0,0.8740445781764139
Mammary Gland Epithelium Development (GO:0061180),14,1,2049.0,2049.0,0.519523326571997,2048.0,0.8740445781764139
Regulation Of Homotypic Cell-Cell Adhesion (GO:0034110),11,1,2049.0,2049.0,0.519523326571997,2048.0,0.8740445781764139
Negative Regulation Of Homotypic Cell-Cell Adhesion (GO:0034111),10,1,2049.0,2049.0,0.519523326571997,2048.0,0.8740445781764139
Regulation Of Cell Communication (GO:0010646),49,5,1998.2,1846.0,0.5195933206670847,9976.0,0.8740445781764139
Regulation Of TORC1 Signaling (GO:1903432),50,3,2007.6666666666667,2577.0,0.5201558385407686,6017.0,0.8743670818476862
Regulation Of Chromatin Organization (GO:1902275),27,3,2008.3333333333333,1538.0,0.5205358860497199,6019.0,0.8743670818476862
Positive Regulation Of Cell Adhesion Mediated By Integrin (GO:0033630),17,1,2055.0,2055.0,0.5210446247464391,2054.0,0.8743670818476862
Regulation Of Type I Interferon-Mediated Signaling Pathway (GO:0060338),33,2,2015.5,2015.5,0.5216942855570168,4028.0,0.8743670818476862
Sphingolipid Metabolic Process (GO:0006665),94,8,1995.625,1693.5,0.5225546547023243,15929.0,0.8743670818476862
Negative Regulation Of Activated T Cell Proliferation (GO:0046007),10,1,2065.0,2065.0,0.5235801217038429,2064.0,0.8743670818476862
Regulation Of Activated T Cell Proliferation (GO:0046006),33,1,2065.0,2065.0,0.5235801217038429,2064.0,0.8743670818476862
Negative Regulation Of B Cell Activation (GO:0050869),20,1,2065.0,2065.0,0.5235801217038429,2064.0,0.8743670818476862
Negative Regulation Of B Cell Proliferation (GO:0030889),10,1,2065.0,2065.0,0.5235801217038429,2064.0,0.8743670818476862
P-body Assembly (GO:0033962),11,1,2065.0,2065.0,0.5235801217038429,2064.0,0.8743670818476862
3'-UTR-mediated mRNA Destabilization (GO:0061158),15,1,2065.0,2065.0,0.5235801217038429,2064.0,0.8743670818476862
Signal Transduction In Response To DNA Damage (GO:0042770),57,6,2000.8333333333333,2552.5,0.5237782281798746,11984.0,0.8743670818476862
snRNA Processing (GO:0016180),19,1,2067.0,2067.0,0.5240872210953236,2066.0,0.8743670818476862
Positive Regulation Of Cytoskeleton Organization (GO:0051495),79,9,1995.6666666666667,2183.0,0.5244207136792145,17916.0,0.8743670818476862
Regulation Of Cholesterol Biosynthetic Process (GO:0045540),15,1,2070.0,2070.0,0.5248478701825448,2069.0,0.8743670818476862
Positive Regulation Of Ossification (GO:0045778),41,7,2000.142857142857,2162.0,0.5251397991307329,13973.0,0.8743670818476862
Positive Regulation Of Biomineral Tissue Development (GO:0070169),43,7,2000.142857142857,2162.0,0.5251397991307329,13973.0,0.8743670818476862
Positive Regulation Of Bone Mineralization (GO:0030501),38,7,2000.142857142857,2162.0,0.5251397991307329,13973.0,0.8743670818476862
Glycoprotein Metabolic Process (GO:0009100),53,3,2017.6666666666667,1651.0,0.5258549523899596,6047.0,0.8743670818476862
"Wnt Signaling Pathway, Planar Cell Polarity Pathway (GO:0060071)",26,4,2010.75,1894.0,0.5259370751339644,8033.0,0.8743670818476862
Regulation Of Cell Morphogenesis (GO:0022604),31,4,2010.75,2026.5,0.5259370751339644,8033.0,0.8743670818476862
Positive Regulation Of Interleukin-8 Production (GO:0032757),61,5,2006.8,1528.0,0.52611686162527,10019.0,0.8743670818476862
Positive Regulation Of Phosphatidylinositol 3-Kinase Activity (GO:0043552),26,4,2012.0,2082.0,0.5267806159767627,8038.0,0.8747934433406883
Positive Regulation Of Type II Interferon Production (GO:0032729),58,4,2012.25,1751.5,0.5269493091881039,8039.0,0.8747934433406883
Regulation Of Cell Death (GO:0010941),59,4,2014.0,2206.0,0.5281300188081128,8046.0,0.8752104787538185
Positive Regulation Of Nuclear Division (GO:0051785),26,3,2022.3333333333333,2116.0,0.5285132258622937,6061.0,0.8752104787538185
Translation (GO:0006412),234,13,1995.2307692307693,1963.0,0.528785139617564,25847.0,0.8752104787538185
Positive Regulation Of Receptor Signaling Pathway Via JAK-STAT (GO:0046427),37,4,2019.25,2128.0,0.5316705587053874,8067.0,0.8752104787538185
Positive Regulation Of Phosphatidylinositol 3-Kinase Signaling (GO:0014068),69,6,2010.3333333333333,2162.5,0.5317135217418069,12041.0,0.8752104787538185
Regulation Of Cytokine Production (GO:0001817),167,9,2002.6666666666667,2162.0,0.5317682069475753,17979.0,0.8752104787538185
Regulation Of Small Molecule Metabolic Process (GO:0062012),40,3,2028.6666666666667,2444.0,0.5321193314577402,6080.0,0.8752104787538185
Protein Kinase A Signaling (GO:0010737),16,1,2101.0,2101.0,0.5327079107504964,2100.0,0.8752104787538185
Regulation Of Cell Cycle Checkpoint (GO:1901976),11,3,2031.0,2362.0,0.5334474068394307,6087.0,0.8752104787538185
Regulation Of Nitric Oxide Biosynthetic Process (GO:0045428),39,4,2022.25,1918.5,0.533692574002298,8079.0,0.8752104787538185
Positive Regulation Of Establishment Of Protein Localization To Mitochondrion (GO:1903749),33,2,2040.0,2040.0,0.5337700158290115,4077.0,0.8752104787538185
Negative Regulation Of Blood Vessel Morphogenesis (GO:2000181),77,8,2007.625,2004.5,0.5342042603012025,16025.0,0.8752104787538185
Regulation Of Interleukin-4 Production (GO:0032673),23,3,2032.3333333333333,1681.0,0.5342061814282253,6091.0,0.8752104787538185
Regulation Of Release Of Sequestered Calcium Ion Into Cytosol (GO:0051279),51,7,2010.2857142857142,2446.0,0.5343216147529098,14044.0,0.8752104787538185
Calcium Ion Transmembrane Transport (GO:0070588),80,9,2005.4444444444443,2031.0,0.5346810225502266,18004.0,0.8752104787538185
Ribosomal Small Subunit Assembly (GO:0000028),17,1,2109.0,2109.0,0.5347363083164194,2108.0,0.8752104787538185
Ribosome Assembly (GO:0042255),50,1,2109.0,2109.0,0.5347363083164194,2108.0,0.8752104787538185
Nucleotide Metabolic Process (GO:0009117),12,2,2044.0,2044.0,0.5357269076222582,4085.0,0.8752104787538185
Regulation Of RNA Metabolic Process (GO:0051252),91,9,2006.6666666666667,1889.0,0.5359620822840928,18015.0,0.8752104787538185
Response To Interleukin-1 (GO:0070555),85,5,2019.8,2065.0,0.5359652056076443,10084.0,0.8752104787538185
Positive Regulation Of Vascular Associated Smooth Muscle Cell Proliferation (GO:1904707),20,1,2116.0,2116.0,0.536511156186602,2115.0,0.8752104787538185
Regulation Of Calcium Ion Import (GO:0090279),20,1,2116.0,2116.0,0.536511156186602,2115.0,0.8752104787538185
Activation Of Protein Kinase B Activity (GO:0032148),25,1,2116.0,2116.0,0.536511156186602,2115.0,0.8752104787538185
Positive Regulation Of Secretion (GO:0051047),15,1,2117.0,2117.0,0.5367647058823424,2116.0,0.8752104787538185
Secretion (GO:0046903),12,1,2117.0,2117.0,0.5367647058823424,2116.0,0.8752104787538185
Vascular Process In Circulatory System (GO:0003018),12,1,2117.0,2117.0,0.5367647058823424,2116.0,0.8752104787538185
Blood Vessel Diameter Maintenance (GO:0097746),36,1,2117.0,2117.0,0.5367647058823424,2116.0,0.8752104787538185
cGMP Metabolic Process (GO:0046068),11,1,2117.0,2117.0,0.5367647058823424,2116.0,0.8752104787538185
Regulation Of Tube Diameter (GO:0035296),12,1,2117.0,2117.0,0.5367647058823424,2116.0,0.8752104787538185
Body Fluid Secretion (GO:0007589),13,1,2117.0,2117.0,0.5367647058823424,2116.0,0.8752104787538185
Regulation Of Microtubule Polymerization (GO:0031113),40,2,2046.5,2046.5,0.5369479072729602,4090.0,0.8752104787538185
Negative Regulation Of Endothelial Cell Apoptotic Process (GO:2000352),26,2,2046.5,2046.5,0.5369479072729602,4090.0,0.8752104787538185
Response To Ethanol (GO:0045471),18,4,2027.25,2190.5,0.5370605693658318,8099.0,0.8752104787538185
Regulation Of Acute Inflammatory Response (GO:0002673),19,2,2047.0,2047.0,0.5371918757095919,4091.0,0.8752104787538185
Epithelium Development (GO:0060429),154,9,2008.2222222222222,1826.0,0.5375919811352584,18029.0,0.8752104787538185
Axonal Fasciculation (GO:0007413),12,1,2123.0,2123.0,0.5382860040567845,2122.0,0.8752104787538185
Neuron Projection Fasciculation (GO:0106030),10,1,2123.0,2123.0,0.5382860040567845,2122.0,0.8752104787538185
Regulation Of Dendrite Morphogenesis (GO:0048814),31,2,2050.0,2050.0,0.5386545288618388,4097.0,0.8752104787538185
Lipid Modification (GO:0030258),42,7,2015.2857142857142,1711.0,0.5388417308578093,14079.0,0.8752104787538185
Regulation Of Endosome Size (GO:0051036),11,1,2127.0,2127.0,0.539300202839746,2126.0,0.8752104787538185
Regulation Of Vesicle Size (GO:0097494),14,1,2127.0,2127.0,0.539300202839746,2126.0,0.8752104787538185
Neurotransmitter Transport (GO:0006836),52,1,2127.0,2127.0,0.539300202839746,2126.0,0.8752104787538185
Histone H3 Acetylation (GO:0043966),36,3,2044.0,1889.0,0.5408412211252279,6126.0,0.8768022812817661
RNA 3'-End Processing (GO:0031123),38,4,2033.5,1983.0,0.5412666744265977,8124.0,0.8768022812817661
Oligosaccharide Metabolic Process (GO:0009311),48,4,2033.5,1951.0,0.5412666744265977,8124.0,0.8768022812817661
Neuron Projection Development (GO:0031175),192,14,2004.142857142857,2212.0,0.5415263709644634,27953.0,0.8768022812817661
Mitochondrion Distribution (GO:0048311),11,1,2137.0,2137.0,0.5418356997971499,2136.0,0.8768022812817661
Antigen Receptor-Mediated Signaling Pathway (GO:0050851),134,9,2012.4444444444443,1970.0,0.5420127334585769,18067.0,0.8768022812817661
Adenylate Cyclase-Activating Adrenergic Receptor Signaling Pathway (GO:0071880),15,3,2046.6666666666667,2350.0,0.542356645636368,6134.0,0.8768916920932868
Learning (GO:0007612),43,4,2036.25,2100.5,0.5431158815489447,8135.0,0.8776521532689863
Mitotic G2 DNA Damage Checkpoint Signaling (GO:0007095),30,6,2025.0,1964.0,0.5439398128562936,12129.0,0.878048583965178
Central Nervous System Development (GO:0007417),283,27,1996.888888888889,2210.0,0.5444939103455076,53538.0,0.878048583965178
Negative Regulation Of Ossification (GO:0030279),24,7,2021.5714285714287,1982.0,0.5445172917019077,14123.0,0.878048583965178
Response To Calcium Ion (GO:0051592),106,7,2021.5714285714287,2423.0,0.5445172917019077,14123.0,0.878048583965178
Negative Regulation Of Developmental Growth (GO:0048640),31,3,2052.6666666666665,2683.0,0.5457646229534149,6152.0,0.8784498204600969
Fatty Acid Transport (GO:0015908),38,3,2052.6666666666665,1929.0,0.5457646229534149,6152.0,0.8784498204600969
Tumor Necrosis Factor-Mediated Signaling Pathway (GO:0033209),38,5,2033.8,1788.0,0.5465481727199477,10154.0,0.8784498204600969
Embryonic Limb Morphogenesis (GO:0030326),34,5,2034.2,2273.0,0.5468501272114468,10156.0,0.8784498204600969
Membrane Raft Organization (GO:0031579),14,2,2067.5,2067.5,0.547140566459471,4132.0,0.8784498204600969
DNA Repair-Dependent Chromatin Remodeling (GO:0140861),16,2,2070.0,2070.0,0.548346390424605,4137.0,0.8784498204600969
Positive Regulation Of Amyloid Precursor Protein Catabolic Process (GO:1902993),21,2,2070.5,2070.5,0.548587400888626,4138.0,0.8784498204600969
Positive Regulation Of Amyloid-Beta Formation (GO:1902004),17,2,2070.5,2070.5,0.548587400888626,4138.0,0.8784498204600969
Regulation Of Amyloid-Beta Formation (GO:1902003),33,2,2070.5,2070.5,0.548587400888626,4138.0,0.8784498204600969
Positive Regulation Of Transmembrane Receptor Protein Serine/Threonine Kinase Signaling Pathway (GO:0090100),95,5,2037.0,1761.0,0.5489630969045006,10170.0,0.8784498204600969
Ubiquitin-Dependent Protein Catabolic Process (GO:0006511),367,30,1997.9666666666667,1913.0,0.5489653450295112,59474.0,0.8784498204600969
Positive Regulation Of Toll-Like Receptor 4 Signaling Pathway (GO:0034145),10,1,2166.0,2166.0,0.5491886409736206,2165.0,0.8784498204600969
Regulation Of Toll-Like Receptor 4 Signaling Pathway (GO:0034143),23,1,2166.0,2166.0,0.5491886409736206,2165.0,0.8784498204600969
Regulation Of Double-Strand Break Repair Via Homologous Recombination (GO:0010569),71,8,2023.625,1976.5,0.5496916103786994,16153.0,0.8784498204600969
Cellular Response To Peptide Hormone Stimulus (GO:0071375),89,11,2015.909090909091,1895.0,0.5504295632301828,22109.0,0.8784498204600969
Negative Regulation Of Ubiquitin-Protein Transferase Activity (GO:0051444),17,2,2074.5,2074.5,0.550512912450698,4146.0,0.8784498204600969
Regulation Of Ubiquitin-Protein Transferase Activity (GO:0051438),32,2,2074.5,2074.5,0.550512912450698,4146.0,0.8784498204600969
Response To Insulin (GO:0032868),79,7,2029.0,2101.0,0.5512134984289202,14175.0,0.8784498204600969
Negative Regulation Of Plasma Membrane Bounded Cell Projection Assembly (GO:0120033),29,3,2063.3333333333335,1377.0,0.5518168374179305,6184.0,0.8784498204600969
Negative Regulation Of Hydrolase Activity (GO:0051346),47,6,2035.1666666666667,1864.5,0.5523922450446052,12190.0,0.8784498204600969
Regulation Of ERBB Signaling Pathway (GO:1901184),13,1,2183.0,2183.0,0.5534989858012069,2182.0,0.8784498204600969
Fc-epsilon Receptor Signaling Pathway (GO:0038095),22,1,2183.0,2183.0,0.5534989858012069,2182.0,0.8784498204600969
Regulation Of Mast Cell Degranulation (GO:0043304),14,1,2183.0,2183.0,0.5534989858012069,2182.0,0.8784498204600969
Fc Receptor Signaling Pathway (GO:0038093),26,1,2183.0,2183.0,0.5534989858012069,2182.0,0.8784498204600969
Regulation Of Lamellipodium Organization (GO:1902743),13,1,2183.0,2183.0,0.5534989858012069,2182.0,0.8784498204600969
Positive Regulation Of Muscle Contraction (GO:0045933),11,4,2051.75,1908.5,0.5535196060124424,8197.0,0.8784498204600969
Positive Regulation Of Amide Metabolic Process (GO:0034250),85,5,2044.0,1977.0,0.5542397791848489,10205.0,0.8784498204600969
Positive Regulation Of Dendritic Spine Development (GO:0060999),21,1,2188.0,2188.0,0.5547667342799089,2187.0,0.8784498204600969
Ribosome Biogenesis (GO:0042254),155,6,2040.5,1923.5,0.5568174683351339,12222.0,0.8784498204600969
Attachment Of Mitotic Spindle Microtubules To Kinetochore (GO:0051315),12,4,2058.0,1783.5,0.5577044559494099,8222.0,0.8784498204600969
Positive Regulation Of Transcription Initiation By RNA Polymerase II (GO:0060261),52,6,2041.6666666666667,2461.5,0.557784602696878,12229.0,0.8784498204600969
RNA Methylation (GO:0001510),62,6,2042.3333333333333,1857.5,0.5583371035551316,12233.0,0.8784498204600969
Transition Metal Ion Transport (GO:0000041),32,2,2091.0,2091.0,0.5584121140038651,4179.0,0.8784498204600969
Sprouting Angiogenesis (GO:0002040),52,6,2042.6666666666667,1917.5,0.5586133133870765,12235.0,0.8784498204600969
Lysosomal Microautophagy (GO:0016237),11,3,2076.3333333333335,2463.0,0.5591805371896404,6223.0,0.8784498204600969
Regulation Of Focal Adhesion Assembly (GO:0051893),54,4,2060.25,2261.5,0.5592094262866271,8231.0,0.8784498204600969
Regulation Of Insulin-Like Growth Factor Receptor Signaling Pathway (GO:0043567),19,1,2207.0,2207.0,0.5595841784989759,2206.0,0.8784498204600969
Regulation Of Multicellular Organism Growth (GO:0040014),15,1,2207.0,2207.0,0.5595841784989759,2206.0,0.8784498204600969
Calcium Ion Transmembrane Import Into Cytosol (GO:0097553),83,8,2034.0,2190.5,0.5596968099201427,16236.0,0.8784498204600969
Progesterone Receptor Signaling Pathway (GO:0050847),10,1,2209.0,2209.0,0.5600912778904568,2208.0,0.8784498204600969
Fc-gamma Receptor Signaling Pathway Involved In Phagocytosis (GO:0038096),20,1,2209.0,2209.0,0.5600912778904568,2208.0,0.8784498204600969
Positive Regulation Of Integrin Activation (GO:0033625),10,1,2209.0,2209.0,0.5600912778904568,2208.0,0.8784498204600969
Regulation Of Mitochondrial Depolarization (GO:0051900),10,1,2209.0,2209.0,0.5600912778904568,2208.0,0.8784498204600969
Cellular Response To Steroid Hormone Stimulus (GO:0071383),25,1,2209.0,2209.0,0.5600912778904568,2208.0,0.8784498204600969
Cellular Response To Lectin (GO:1990858),19,1,2209.0,2209.0,0.5600912778904568,2208.0,0.8784498204600969
Response To Progesterone (GO:0032570),13,1,2209.0,2209.0,0.5600912778904568,2208.0,0.8784498204600969
Intracellular Steroid Hormone Receptor Signaling Pathway (GO:0030518),43,1,2209.0,2209.0,0.5600912778904568,2208.0,0.8784498204600969
Regulation Of Inflammatory Response To Antigenic Stimulus (GO:0002861),17,1,2209.0,2209.0,0.5600912778904568,2208.0,0.8784498204600969
Fc-gamma Receptor Signaling Pathway (GO:0038094),24,1,2209.0,2209.0,0.5600912778904568,2208.0,0.8784498204600969
ERBB2 Signaling Pathway (GO:0038128),13,1,2209.0,2209.0,0.5600912778904568,2208.0,0.8784498204600969
Fc Receptor Mediated Stimulatory Signaling Pathway (GO:0002431),22,1,2209.0,2209.0,0.5600912778904568,2208.0,0.8784498204600969
Negative Regulation Of Inflammatory Response To Antigenic Stimulus (GO:0002862),16,1,2209.0,2209.0,0.5600912778904568,2208.0,0.8784498204600969
Stimulatory C-type Lectin Receptor Signaling Pathway (GO:0002223),19,1,2209.0,2209.0,0.5600912778904568,2208.0,0.8784498204600969
Protein N-linked Glycosylation Via Asparagine (GO:0018279),23,1,2215.0,2215.0,0.5616125760648989,2214.0,0.8797252112800824
Apoptotic Nuclear Changes (GO:0030262),16,1,2216.0,2216.0,0.5618661257606393,2215.0,0.8797252112800824
Cellular Response To Chemical Stress (GO:0062197),89,4,2064.5,1800.5,0.5620497657003314,8248.0,0.8797252112800824
Cell Junction Organization (GO:0034330),62,5,2054.4,1622.0,0.562062750195734,10257.0,0.8797252112800824
Negative Regulation Of Microtubule Polymerization Or Depolymerization (GO:0031111),31,4,2065.25,2104.5,0.5625506704631469,8251.0,0.8800354978718024
Cellular Response To Arsenic-Containing Substance (GO:0071243),13,4,2066.25,2472.0,0.563218385630172,8255.0,0.8801185197091955
Selective Autophagy (GO:0061912),58,8,2038.125,2063.0,0.5636649543106245,16269.0,0.8801185197091955
Regulation Of DNA-templated DNA Replication (GO:0090329),17,3,2084.3333333333335,1868.0,0.5637044727543976,6247.0,0.8801185197091955
Regulation Of Wnt Signaling Pathway (GO:0030111),109,8,2038.875,2178.0,0.5643857841767619,16275.0,0.8801185197091955
Protein Targeting (GO:0006605),129,13,2023.7692307692307,1844.0,0.5646348016913894,26218.0,0.8801185197091955
Zinc Ion Transport (GO:0006829),23,2,2104.5,2104.5,0.5648230695113269,4206.0,0.8801185197091955
Regulation Of Autophagosome Assembly (GO:2000785),40,3,2086.6666666666665,2463.0,0.5650227846340767,6254.0,0.8801185197091955
Positive Regulation Of Autophagosome Assembly (GO:2000786),16,3,2086.6666666666665,2463.0,0.5650227846340767,6254.0,0.8801185197091955
Plasma Membrane Bounded Cell Projection Morphogenesis (GO:0120039),50,3,2087.0,2406.0,0.5652110704254907,6255.0,0.8801185197091955
Regulation Of Cardiac Muscle Contraction (GO:0055117),35,4,2070.75,2022.0,0.5662208248687673,8273.0,0.8806165086796816
Regulation Of Response To Biotic Stimulus (GO:0002831),31,2,2109.5,2109.5,0.5671855893747562,4216.0,0.8806165086796816
Negative Regulation Of Cellular Response To Insulin Stimulus (GO:1900077),27,3,2090.6666666666665,1864.0,0.5672814659759708,6266.0,0.8806165086796816
Regulation Of Insulin Receptor Signaling Pathway (GO:0046626),44,3,2090.6666666666665,1864.0,0.5672814659759708,6266.0,0.8806165086796816
Negative Regulation Of Insulin Receptor Signaling Pathway (GO:0046627),26,3,2090.6666666666665,1864.0,0.5672814659759708,6266.0,0.8806165086796816
fatty-acyl-CoA Biosynthetic Process (GO:0046949),25,2,2110.5,2110.5,0.567657321702413,4218.0,0.8806165086796816
Long-Chain fatty-acyl-CoA Biosynthetic Process (GO:0035338),17,2,2110.5,2110.5,0.567657321702413,4218.0,0.8806165086796816
Macromolecule Modification (GO:0043412),81,6,2053.8333333333335,2063.0,0.5678498158339356,12302.0,0.8806165086796816
"G Protein-Coupled Receptor Signaling Pathway, Coupled To Cyclic Nucleotide Second Messenger (GO:0007187)",50,7,2049.1428571428573,1875.0,0.5692952844138003,14316.0,0.8819062329690156
Mitochondrial Gene Expression (GO:0140053),103,7,2049.4285714285716,1830.0,0.5695508546680285,14318.0,0.8819062329690156
Negative Regulation Of BMP Signaling Pathway (GO:0030514),43,4,2075.75,2144.5,0.5695523466376592,8293.0,0.8819062329690156
Activation Of Cysteine-Type Endopeptidase Activity (GO:0097202),16,2,2116.0,2116.0,0.5702472196343531,4229.0,0.8820503400124432
Cellular Response To Gamma Radiation (GO:0071480),16,2,2117.5,2117.5,0.5709522459757423,4232.0,0.8820503400124432
Regulation Of Cardiac Muscle Cell Contraction (GO:0086004),26,3,2097.3333333333335,1822.0,0.5710422008571213,6286.0,0.8820503400124432
Cellular Response To Alkaloid (GO:0071312),17,3,2098.0,2743.0,0.5714180095057789,6288.0,0.8820503400124432
B Cell Receptor Signaling Pathway (GO:0050853),46,2,2121.0,2121.0,0.5725949496347289,4239.0,0.8820503400124432
Neutrophil Activation (GO:0042119),18,2,2121.5,2121.5,0.5728294011160044,4240.0,0.8820503400124432
Granulocyte Activation (GO:0036230),12,2,2121.5,2121.5,0.5728294011160044,4240.0,0.8820503400124432
Negative Regulation Of Canonical Wnt Signaling Pathway (GO:0090090),114,10,2038.9,1840.0,0.5732975276475754,20334.0,0.8820503400124432
Regulation Of Protein Import Into Nucleus (GO:0042306),38,3,2101.6666666666665,2333.0,0.5734840705722726,6299.0,0.8820503400124432
Regulation Of Tumor Necrosis Factor-Mediated Signaling Pathway (GO:0010803),48,2,2123.0,2123.0,0.5735322411298118,4243.0,0.8820503400124432
ncRNA Transcription (GO:0098781),13,2,2123.0,2123.0,0.5735322411298118,4243.0,0.8820503400124432
Positive Regulation Of Cell Cycle (GO:0045787),65,6,2060.8333333333335,2039.0,0.5736221670229886,12344.0,0.8820503400124432
Negative Regulation Of Response To Stimulus (GO:0048585),52,5,2070.0,2009.0,0.5737542875318886,10335.0,0.8820503400124432
Protein Acylation (GO:0043543),37,2,2124.0,2124.0,0.5740005010548388,4245.0,0.8820503400124432
Protein Palmitoylation (GO:0018345),30,2,2124.0,2124.0,0.5740005010548388,4245.0,0.8820503400124432
Regulation Of Myelination (GO:0031641),25,3,2103.3333333333335,2667.0,0.5744226855305822,6304.0,0.8822528405671934
Positive Regulation Of Programmed Cell Death (GO:0043068),245,18,2023.7777777777778,2230.5,0.5759717300551953,36257.0,0.8841850004586576
Motile Cilium Assembly (GO:0044458),17,2,2129.0,2129.0,0.576337942454829,4255.0,0.884300337968571
Axon Extension (GO:0048675),23,3,2107.3333333333335,2941.0,0.5766740458364337,6316.0,0.8843693847809619
Positive Regulation Of DNA Repair (GO:0045739),89,10,2042.5,1844.5,0.5772198186349523,20370.0,0.884759742186168
Protein Import Into Peroxisome Matrix (GO:0016558),13,2,2132.5,2132.5,0.5779703575134302,4262.0,0.8851137028960592
Positive Regulation Of Peptide Hormone Secretion (GO:0090277),46,4,2089.0,2208.5,0.5783562449003219,8346.0,0.8851137028960592
Regulation Of Myeloid Cell Differentiation (GO:0045637),26,3,2110.6666666666665,2446.0,0.5785487283652845,6326.0,0.8851137028960592
