Pathway,N_Overlap,P_Value,Effect_Size,Median_Rank,FDR
Embryonic Organ Morphogenesis (GO:0048562),43,0.00262808951826625,0.24577907231554186,37932.0,0.004594089646326607
Regulation Of Activin Receptor Signaling Pathway (GO:0032925),15,0.002635640389617279,0.41593807465827537,29728.0,0.004604139030974835
Cellular Response To Copper Ion (GO:0071280),18,0.0026372237537716147,0.37967693143506487,24626.5,0.004604139030974835
Regulation Of Myotube Differentiation (GO:0010830),22,0.0026646076070109713,0.3430255349390937,34753.5,0.00464675411645326
Negative Regulation Of Carbohydrate Metabolic Process (GO:0045912),26,0.0026650501550246637,0.3155377552106994,27030.0,0.00464675411645326
Positive Regulation Of Protein Localization To Plasma Membrane (GO:1903078),49,0.0026724391196370247,0.2297998053267607,37499.0,0.004656652405773676
miRNA-mediated Gene Silencing (GO:0035195),23,0.002681543631726736,0.33523993276530817,32118.0,0.004669525402238618
Alpha-Beta T Cell Activation (GO:0046631),14,0.0026885004790104315,0.4295416104165096,21817.5,0.004678644467631717
Positive Regulation Of Leukocyte Adhesion To Vascular Endothelial Cell (GO:1904996),17,0.0026953568335148057,0.38969270241456466,21831.0,0.00468757710176488
Protein Kinase B Signaling (GO:0043491),24,0.0027075159605234387,0.3278144596151229,32143.0,0.004705714640654156
Positive Regulation Of Phosphatidylinositol 3-Kinase Activity (GO:0043552),26,0.002710621001373633,0.3149149304052651,31702.0,0.0047081028887204866
Mitotic Cell Cycle Checkpoint Signaling (GO:0007093),20,0.0027242286484969215,0.3588376470119601,34079.5,0.004728718521960196
"mRNA Cis Splicing, Via Spliceosome (GO:0045292)",15,0.002746061163743575,0.41395311784270383,30749.0,0.00476357548812661
Regulation Of Nitric-Oxide Synthase Activity (GO:0050999),28,0.0027599699918154823,0.30282288298004023,29617.5,0.004784651611050422
SMAD Protein Signal Transduction (GO:0060395),50,0.0027684013123133273,0.2265556297130107,34502.0,0.004796211190759395
Calcium-Independent Cell-Cell Adhesion Via Plasma Membrane Cell-Adhesion Molecules (GO:0016338),19,0.0027728606944464568,0.3673958642348667,31670.0,0.004800879114509461
Negative Regulation Of ERBB Signaling Pathway (GO:1901185),18,0.002796840970050219,0.37708003465479645,28172.5,0.004839317708992746
Triglyceride Homeostasis (GO:0070328),29,0.0028012160862353136,0.2970398017468041,27124.0,0.004843806582682805
Regulation Of Potassium Ion Transmembrane Transporter Activity (GO:1901016),26,0.002832544957305024,0.31329390053035866,29137.0,0.004894868032954044
Regulation Of TORC1 Signaling (GO:1903432),40,0.002850317532358066,0.25241690488759627,31796.0,0.004917411826258666
Regulation Of Intrinsic Apoptotic Signaling Pathway In Response To DNA Damage (GO:1902229),12,0.0028519307813887353,0.46075346444278487,27444.5,0.004917411826258666
Negative Regulation Of Response To Endoplasmic Reticulum Stress (GO:1903573),22,0.0028521777477673086,0.34030229094711495,26335.0,0.004917411826258666
Negative Regulation Of Developmental Growth (GO:0048640),31,0.0028528220080280054,0.2866838056844052,32965.0,0.004917411826258666
Positive Regulation Of Nervous System Development (GO:0051962),46,0.0028585460407083013,0.2353069065172566,30009.0,0.004924157840865471
Regulation Of Delayed Rectifier Potassium Channel Activity (GO:1902259),15,0.002861343126099842,0.41195621145432937,33712.0,0.004925856520880741
Cellular Response To cAMP (GO:0071320),29,0.0028646047997917478,0.2962574763928688,31688.0,0.004928352343727738
Prostaglandin Metabolic Process (GO:0006693),30,0.002884756087323417,0.29103814143104234,29536.0,0.004959884043944181
Glycerophospholipid Catabolic Process (GO:0046475),27,0.0028922332603804183,0.3066826013345284,31696.0,0.004969598526996044
Macrophage Activation (GO:0042116),35,0.0029079623362434424,0.2692001013070314,33303.0,0.00499347067839783
Regulation Of Mitotic Cell Cycle Spindle Assembly Checkpoint (GO:0090266),17,0.0029111177215340495,0.38618039528099624,30288.0,0.004995735143578936
Protein Localization To Cilium (GO:0061512),36,0.0029261225448145747,0.2652402753845966,34824.5,0.005018318614057782
Positive Regulation Of Telomere Maintenance Via Telomerase (GO:0032212),32,0.0029493197075588133,0.2810604551566157,29538.5,0.005051867724277973
Embryonic Heart Tube Development (GO:0035050),16,0.0029493992449093464,0.39744674918592726,28084.5,0.005051867724277973
Regulation Of Hormone Secretion (GO:0046883),15,0.0029575603051145145,0.41034434685626653,22213.0,0.00505972281036452
Regulation Of Cardiac Muscle Hypertrophy (GO:0010611),23,0.002957705613411613,0.3313941153191007,35877.0,0.00505972281036452
Positive Regulation Of Oxidoreductase Activity (GO:0051353),22,0.002980254002805222,0.33853417408663133,30184.5,0.005095091695556382
Negative Regulation Of DNA Replication (GO:0008156),13,0.0029848319927964443,0.44029468898026214,25937.0,0.005099712952516538
Cytoskeleton-Dependent Intracellular Transport (GO:0030705),21,0.003001373599381428,0.346207396279098,25182.0,0.005122902898741391
Regulation Of Lymphocyte Differentiation (GO:0045619),19,0.0030041466430273255,0.36392930183412286,25719.0,0.005122902898741391
Positive Regulation Of Nuclear Division (GO:0051785),25,0.003004684315472748,0.31726885232840696,35598.0,0.005122902898741391
Endosome To Lysosome Transport (GO:0008333),52,0.0030059386126438455,0.22000490419576935,38233.0,0.005122902898741391
Regulation Of Vascular Endothelial Growth Factor Receptor Signaling Pathway (GO:0030947),21,0.003024395037425383,0.3458915672706304,31661.0,0.005151129932246113
Positive Regulation Of Stem Cell Population Maintenance (GO:1902459),37,0.0030426464600197332,0.2604177883062345,35059.0,0.005178972697905929
Regulation Of Telomere Maintenance (GO:0032204),34,0.0030507155791452455,0.27157379290869565,34484.5,0.005189459896982531
Positive Regulation Of Protein Import Into Nucleus (GO:0042307),26,0.0030584962843975927,0.3104494374275574,26067.5,0.005199443683475908
Heparan Sulfate Proteoglycan Biosynthetic Process (GO:0015012),23,0.0030816730969053267,0.3297721346668272,30838.0,0.0052355720322189185
NIK/NF-kappaB Signaling (GO:0038061),32,0.003097909665755814,0.2794139983068572,40665.5,0.005259871592294516
Neural Crest Cell Migration (GO:0001755),36,0.003116433922190098,0.26325047669954593,32154.0,0.005288022625300728
acyl-CoA Metabolic Process (GO:0006637),28,0.0031497835048247404,0.29810361336419755,33059.5,0.005341278761298812
Negative Regulation Of Endopeptidase Activity (GO:0010951),64,0.0031544961676141237,0.19717671834058959,31551.0,0.005345937430473779
Protein Localization To Centrosome (GO:0071539),15,0.0031621200016934197,0.4070688361779955,23921.0,0.005355520799879266
Regulation Of Cellular Response To Growth Factor Stimulus (GO:0090287),19,0.0031658969328664482,0.3616451653142496,29521.0,0.005358580994024106
"DNA Damage Response, Signal Transduction By P53 Class Mediator (GO:0030330)",35,0.0031686180477701704,0.26644944466103404,38987.0,0.005359851424088845
Negative Regulation Of Signal Transduction By P53 Class Mediator (GO:1901797),14,0.0031744847781698354,0.4211556544388665,27114.5,0.005366437909646956
Negative Regulation Of GTPase Activity (GO:0034260),21,0.003190850014189062,0.34367033142128744,37033.0,0.005390752819002639
Transcription By RNA Polymerase I (GO:0006360),16,0.003197888707707268,0.3936091554555322,28889.5,0.0053992906796795585
Regulation Of Intrinsic Apoptotic Signaling Pathway (GO:2001242),44,0.003210586673312429,0.23727433006466403,28963.5,0.005417367091445289
Negative Regulation Of Signaling Receptor Activity (GO:2000272),25,0.003231434686721658,0.3145034458032905,36931.0,0.005449164505817055
Cardiac Conduction System Development (GO:0003161),24,0.0032340796517921254,0.3209552879939185,35595.0,0.005450245757667027
Glycerolipid Catabolic Process (GO:0046503),18,0.0032653454344791603,0.37016345954893437,26576.5,0.005498756803673481
Negative Regulation Of Cell Cycle G1/S Phase Transition (GO:1902807),33,0.0032669084539471856,0.27338823878802365,32046.0,0.005498756803673481
Maintenance Of Gastrointestinal Epithelium (GO:0030277),18,0.0032731410851615968,0.3700561314757831,29333.5,0.005505840291675661
Fatty Acid Transport (GO:0015908),38,0.0032766399752970155,0.2546822389193434,34403.0,0.005508319365147022
Positive Regulation Of Nitrogen Compound Metabolic Process (GO:0051173),32,0.003282914762649067,0.27746065932971464,36243.5,0.005515459020633392
Regulation Of Secretion By Cell (GO:1903530),57,0.0032928216855268653,0.20784212973158145,34328.0,0.005528688262119182
Negative Regulation Of Insulin Receptor Signaling Pathway (GO:0046627),25,0.0032993524866387043,0.31370911843205995,31808.0,0.005536236128104427
Positive Regulation Of DNA Recombination (GO:0045911),41,0.0033068928637268622,0.2449169581141606,32590.0,0.005545467687630743
Cellular Response To dsRNA (GO:0071359),14,0.0033307513169917565,0.41870459385371306,26440.5,0.005582035478877127
Purine Ribonucleotide Catabolic Process (GO:0009154),25,0.0033425111330066485,0.3132119666972075,27714.0,0.0055982945084840415
ncRNA-mediated Post-Transcriptional Gene Silencing (GO:0035194),16,0.0033514431975392982,0.39136983300305717,28333.0,0.00560980030603501
Negative Regulation Of Axon Extension Involved In Axon Guidance (GO:0048843),19,0.00336519091412607,0.3589710798336637,24634.0,0.005629347654626637
Regulation Of Proteolysis (GO:0030162),51,0.003388200176343364,0.2189563969352808,36172.0,0.005664354320623202
Regulation Of Dopamine Secretion (GO:0014059),21,0.0034038860624768627,0.3409748778415126,34919.0,0.0056839602835238034
Cardiac Muscle Cell Action Potential Involved In Contraction (GO:0086002),28,0.00340410709627216,0.29530079119259367,34047.5,0.0056839602835238034
Positive Regulation Of Epithelial Cell Differentiation (GO:0030858),19,0.0034106655074276327,0.35838091514312276,24594.0,0.005691417288468197
Sphingolipid Catabolic Process (GO:0030149),15,0.003441048293996395,0.4028971075395166,26213.0,0.005738596787044877
Chromosome Condensation (GO:0030261),18,0.0034437098620751488,0.3677635153152734,36198.0,0.005739516436791915
tRNA Methylation (GO:0030488),29,0.0034627719955349877,0.2895572272026683,24638.0,0.005767752497155644
Gamma-Aminobutyric Acid Signaling Pathway (GO:0007214),20,0.0034739028186180454,0.3485196729637412,27327.0,0.005782751325973736
Regulation Of Spindle Organization (GO:0090224),20,0.0034773667668993504,0.34847685152912355,30951.5,0.005784977129031335
Negative Regulation Of Neuron Differentiation (GO:0045665),20,0.0034859998281328627,0.3483702958662378,25571.0,0.005795794335282022
I-kappaB kinase/NF-kappaB Signaling (GO:0007249),45,0.0035068938483702196,0.23210437307974963,39326.0,0.005826970841519241
Skeletal Muscle Contraction (GO:0003009),18,0.0035220589675240103,0.3667444518578268,26291.0,0.005848596087707759
Bile Acid Biosynthetic Process (GO:0006699),25,0.0035358941293993982,0.31105286220770423,36993.0,0.00586798781694104
Glucose Metabolic Process (GO:0006006),56,0.0035517058839079825,0.20774812251037833,34388.5,0.005890634148920557
Lysosome Organization (GO:0007040),37,0.0035596360147966077,0.25548724022827607,31232.0,0.005898770644824187
Protein N-linked Glycosylation Via Asparagine (GO:0018279),23,0.0035624204078082756,0.32399171776670666,30599.0,0.005898770644824187
Positive Regulation Of Cell Junction Assembly (GO:1901890),60,0.0035631177093551985,0.20062796590188325,35072.0,0.005898770644824187
Regulation Of Vascular Endothelial Growth Factor Production (GO:0010574),25,0.0035796007359167113,0.3105796119985659,34240.0,0.00592245377231962
Lipid Translocation (GO:0034204),22,0.0036037141285544163,0.33079809698840723,36803.5,0.005958724881257151
Negative Regulation Of Viral Genome Replication (GO:0045071),49,0.0036148598188423106,0.221598971500781,34975.0,0.005973522908414997
Diterpenoid Metabolic Process (GO:0016101),27,0.003641294904712892,0.29822394847790723,30374.0,0.006010340057890392
Second-Messenger-Mediated Signaling (GO:0019932),68,0.0036415589762512374,0.1879552685883209,36230.5,0.006010340057890392
Acylglycerol Metabolic Process (GO:0006639),39,0.0036542796845908773,0.24804202351563853,30684.0,0.006027163233846745
intra-Golgi Vesicle-Mediated Transport (GO:0006891),30,0.003656183579355562,0.2827804170359969,36380.5,0.006027163233846745
Negative Regulation Of Cyclin-Dependent Protein Kinase Activity (GO:1904030),20,0.003734300769038744,0.3454026708625033,27212.0,0.006152209625551414
Negative Regulation Of Stem Cell Population Maintenance (GO:1902455),19,0.0037572327153465807,0.3541019590742276,35059.0,0.006183841042770279
Positive Regulation Of Neuroblast Proliferation (GO:0002052),18,0.0037580475160659084,0.3637934830836572,24891.0,0.006183841042770279
Epithelial Cell Development (GO:0002064),18,0.003792985126225832,0.3633708096409378,34662.5,0.006237557160419748
"Mitochondrial Electron Transport, Cytochrome C To Oxygen (GO:0006123)",15,0.003798722039945144,0.39797122808415153,26015.0,0.006239769754355816
Organic Hydroxy Compound Transport (GO:0015850),43,0.0037989186445636872,0.23508261171912892,36914.0,0.006239769754355816
Regulation Of Apoptotic Signaling Pathway (GO:2001233),42,0.003812160861728943,0.23775942171280584,32999.0,0.006257741426616009
Positive Regulation Of Axon Extension (GO:0045773),18,0.00381896329594948,0.3630587836963125,29778.0,0.006265126758131836
Negative Regulation Of Transferase Activity (GO:0051348),37,0.003825261312734783,0.2531996338968451,35073.0,0.006270421594187138
Negative Regulation Of Cold-Induced Thermogenesis (GO:0120163),43,0.0038268014140995037,0.2348662548628172,36670.0,0.006270421594187138
Sensory Perception (GO:0007600),47,0.003835883598860334,0.22458708907600777,31803.0,0.006281519198615357
Lymphocyte Activation Involved In Immune Response (GO:0002285),23,0.0038401867846357594,0.32096425147714547,32338.0,0.006283764606769766
Regulation Of Long-Term Synaptic Potentiation (GO:1900271),31,0.0038450147294069965,0.27643188011511977,27423.0,0.006283764606769766
Megakaryocyte Differentiation (GO:0030219),16,0.003845458090340702,0.38474273309367557,21319.5,0.006283764606769766
Phosphatidylcholine Biosynthetic Process (GO:0006656),18,0.003846495614070464,0.36273016062697294,33394.5,0.006283764606769766
Regulation Of Monoatomic Ion Transport (GO:0043269),27,0.0038552283970373366,0.29609637523191945,34824.0,0.00629425044414259
Positive Regulation Of Cell Activation (GO:0050867),15,0.003857555745729836,0.3972011445035284,20149.0,0.006294272122606571
Limb Development (GO:0060173),24,0.0038930842709041,0.31366539525094694,32527.5,0.006348434782289659
Regulation Of Cell-Substrate Adhesion (GO:0010810),42,0.0038976318963015602,0.23709490370180641,35675.5,0.006352042395410571
Regulation Of Secretion (GO:0051046),16,0.003915648981302284,0.3838639328427321,27888.0,0.006377583969546235
Organic Cation Transport (GO:0015695),30,0.00398988031463063,0.2796863432496406,37337.0,0.006494598716813473
"Protein Localization To Chromosome, Telomeric Region (GO:0070198)",14,0.0039951942389421105,0.4093171598424379,29945.5,0.006499359048996734
Regulation Of Interleukin-1 Beta Production (GO:0032651),79,0.004002712924431028,0.17232434466887026,39013.0,0.006507698239361862
Mitotic Spindle Assembly (GO:0090307),40,0.004014920150263783,0.24203462254848251,34122.5,0.006523645644395155
Translational Elongation (GO:0006414),35,0.0040263226417280255,0.25864595753641784,33138.0,0.006538267215224017
Substrate Adhesion-Dependent Cell Spreading (GO:0034446),36,0.004044455063181743,0.2548834728295092,37375.0,0.006563793419960823
Protein Import Into Mitochondrial Matrix (GO:0030150),16,0.004055655003252848,0.38215238844464805,20403.0,0.006577993370785588
Positive Regulation Of Pattern Recognition Receptor Signaling Pathway (GO:0062208),38,0.004058041498594933,0.24798160602354502,38341.0,0.006577993370785588
Regulation Of Cellular Respiration (GO:0043457),14,0.004074881555453174,0.408287230728305,27498.5,0.006601356659221342
Glycosaminoglycan Catabolic Process (GO:0006027),13,0.004080202789136352,0.4236268988718602,19858.0,0.006606042610982666
RNA-templated DNA Biosynthetic Process (GO:0006278),18,0.0041191842370583735,0.35958445225615776,30792.0,0.006661225401188332
Telomere Maintenance Via Telomerase (GO:0007004),18,0.0041191842370583735,0.35958445225615776,30792.0,0.006661225401188332
Ruffle Organization (GO:0031529),15,0.004123420959708315,0.39384729773688365,21597.0,0.006664114682356872
Regulation Of Hydrolase Activity (GO:0051336),70,0.004136254134898572,0.1822929847459822,38578.5,0.006680885538553513
Sulfation (GO:0051923),16,0.004151605978730954,0.38100969916650895,27452.5,0.006701702232728899
Regulation Of Dendrite Morphogenesis (GO:0048814),30,0.004157932658118563,0.27821499829029184,34104.0,0.006707934062919627
Mesenchymal Cell Migration (GO:0090497),32,0.0041632984038245825,0.26933855385687966,30397.5,0.006712609163250068
Hematopoietic Progenitor Cell Differentiation (GO:0002244),28,0.0041716083397420915,0.28785552803320136,31493.5,0.0067220229171199575
Pulmonary Valve Morphogenesis (GO:0003184),18,0.00422712378536023,0.35839056575172246,28402.5,0.006807446238117126
Antifungal Innate Immune Response (GO:0061760),16,0.004236336404565289,0.38002011531452584,22667.0,0.0068182455742115886
Peptide Cross-Linking (GO:0018149),26,0.004268169893588222,0.2978389588023991,32651.5,0.006865418161182711
Negative Regulation Of Hydrolase Activity (GO:0051346),43,0.0042741025871208885,0.23157549950867995,37287.0,0.006870897775986298
Regulation Of DNA Biosynthetic Process (GO:2000278),28,0.0042886025334218465,0.28683043494962746,33740.5,0.00688644330238359
Negative Regulation Of Intrinsic Apoptotic Signaling Pathway By P53 Class Mediator (GO:1902254),14,0.004288836380234486,0.40560856149914437,28921.0,0.00688644330238359
Cellular Response To Xenobiotic Stimulus (GO:0071466),26,0.004334709135035895,0.2972429468729675,30594.0,0.006951894265302953
Negative Regulation Of Cyclin-Dependent Protein Serine/Threonine Kinase Activity (GO:0045736),19,0.004334710541894783,0.34770134521908946,26764.0,0.006951894265302953
Positive Regulation Of Focal Adhesion Assembly (GO:0051894),18,0.004357613916304988,0.35698312957596556,28640.0,0.006984507868208349
RNA Stabilization (GO:0043489),29,0.004380568293976057,0.2810684132875798,31543.0,0.007017164758312646
Regulation Of NLRP3 Inflammasome Complex Assembly (GO:1900225),30,0.004401046261167784,0.27617795572021875,31445.0,0.007045818617054957
Regulation Of Systemic Arterial Blood Pressure (GO:0003073),13,0.004404273628214887,0.41946914314077544,23591.0,0.007046837805143818
In Utero Embryonic Development (GO:0001701),27,0.0044103568289134915,0.29103269188918024,34125.0,0.007052422442471897
Negative Regulation Of Epidermal Growth Factor Receptor Signaling Pathway (GO:0042059),23,0.004414256277104182,0.3152834222839185,36931.0,0.007052792473847912
Chondroitin Sulfate Proteoglycan Biosynthetic Process (GO:0050650),18,0.004415774111383454,0.3563679294865624,28336.0,0.007052792473847912
Cellular Response To Nitrogen Compound (GO:1901699),13,0.004434133702992699,0.41909993933414624,25368.0,0.007077959901490693
Positive Regulation Of Epithelial Cell Apoptotic Process (GO:1904037),20,0.004454503076158897,0.33769879602059416,27876.0,0.0071063040276552495
Negative Regulation Of Synaptic Transmission (GO:0050805),15,0.004466326264521981,0.3897963925567439,30329.0,0.0071209891204570865
Heart Process (GO:0003015),16,0.004516253461621316,0.3768721183816134,29600.0,0.00719637341277679
Negative Regulation Of Peptidyl-Tyrosine Phosphorylation (GO:0050732),29,0.004537953596303828,0.27977575629363227,33106.0,0.007226717670928813
Regulation Of Nitric Oxide Biosynthetic Process (GO:0045428),39,0.0045643628193768335,0.2410835643370156,38193.0,0.00726452128069338
Insulin Receptor Signaling Pathway (GO:0008286),44,0.004581288946203383,0.22686795439377794,42122.0,0.00728719645244047
Positive Regulation Of Interleukin-1 Beta Production (GO:0032731),56,0.0046450372931898095,0.20074338200029318,38770.0,0.007384279040021206
Regulation Of Interleukin-12 Production (GO:0032655),49,0.004663938993159183,0.21448128201354255,36099.0,0.007409996531187487
N-terminal Protein Amino Acid Acetylation (GO:0006474),13,0.004672561993513962,0.4162290350452543,23951.0,0.007419362885206057
Negative Regulation Of Interleukin-8 Production (GO:0032717),16,0.00472341038885239,0.37465271208213424,32580.5,0.007495727104829931
Carboxylic Acid Transport (GO:0046942),53,0.004760982429064164,0.20567172999079764,39234.0,0.007547972817135359
Regulation Of Striated Muscle Contraction (GO:0006942),27,0.0047618828508103955,0.28811354926283717,37317.0,0.007547972817135359
BMP Signaling Pathway (GO:0030509),58,0.004795825927184457,0.19642142486871306,35948.0,0.007597348003460526
Innate Immune Response In Mucosa (GO:0002227),17,0.004826464869174639,0.3624283890014879,31986.0,0.007641434484374284
Gliogenesis (GO:0042063),24,0.0048428837666414995,0.3049015897675932,31281.0,0.007662969078106387
Negative Regulation Of Phosphoprotein Phosphatase Activity (GO:0032515),19,0.0048619919466724336,0.342491543243977,32905.0,0.0076887314505517555
Negative Regulation Of Wound Healing (GO:0061045),28,0.004874293910218283,0.28204643010088737,29744.0,0.0077037068191712545
Protein K63-linked Deubiquitination (GO:0070536),32,0.004918386031560687,0.26351837557890545,38913.5,0.007766845866421021
Positive Regulation Of Immune System Process (GO:0002684),26,0.0049199542014130215,0.2923262314962427,36444.0,0.007766845866421021
Glycolytic Process (GO:0006096),28,0.004941230573918628,0.28153281649482187,28607.5,0.0077959090261361195
"DNA Damage Response, Signal Transduction By P53 Class Mediator Resulting In Cell Cycle Arrest (GO:0006977)",16,0.004966820596161403,0.3721532348811504,29479.0,0.007831740302353053
Histone H4 Acetylation (GO:0043967),33,0.004985152126573442,0.25902807204348977,32616.0,0.007852492234617871
Negative Regulation Of RNA Splicing (GO:0033119),18,0.004985755179847449,0.35069392578429714,29055.5,0.007852492234617871
Mesonephric Tubule Development (GO:0072164),16,0.00501374687160169,0.3716839605261848,27997.0,0.007892008964558215
Chemokine-Mediated Signaling Pathway (GO:0070098),56,0.005097621662819372,0.1982695928512368,36666.5,0.00801939324630925
Inositol Phosphate-Mediated Signaling (GO:0048016),19,0.005166008574524169,0.33971263277395225,27473.0,0.008122279377286556
Eye Morphogenesis (GO:0048592),17,0.005237844330774633,0.3584650350879248,37932.0,0.008230465961702484
Pulmonary Valve Development (GO:0003177),20,0.005241854114421292,0.3304589860282622,30026.5,0.008232011080384478
Regulation Of Actin Polymerization Or Depolymerization (GO:0008064),26,0.0052589180812359845,0.2897123591270647,30193.0,0.008254043381974541
Regulation Of Receptor Recycling (GO:0001919),16,0.005262175983229334,0.3692629031776222,34254.5,0.008254393699183269
Response To Estrogen (GO:0043627),30,0.005267583951461066,0.2696525142669336,41021.0,0.008257621076609697
Glial Cell Development (GO:0021782),21,0.005270305216542071,0.3222594008922881,34091.0,0.008257621076609697
Cellular Response To Hexose Stimulus (GO:0071331),23,0.005307425680428176,0.3076385503147404,28704.0,0.00831099473273727
Carboxylic Acid Metabolic Process (GO:0019752),32,0.005310773259415712,0.2608024998755042,30693.5,0.008311451821410092
Regulation Of Potassium Ion Transport (GO:0043266),29,0.005325876682566888,0.27385027707642473,33689.0,0.008330295903727393
"Mitochondrial Electron Transport, NADH To Ubiquinone (GO:0006120)",34,0.005348821071035052,0.2527719174081393,29863.0,0.008359785956837461
Oxidative Phosphorylation (GO:0006119),46,0.00535087770251986,0.21731637991106945,34168.0,0.008359785956837461
Positive Regulation Of Establishment Of Protein Localization To Mitochondrion (GO:1903749),33,0.005354171807716793,0.25653692415972806,29784.0,0.008360130491957336
Negative Regulation Of Macroautophagy (GO:0016242),21,0.005420338523491944,0.321027383228626,17561.0,0.008455197169563097
Vesicle Budding From Membrane (GO:0006900),29,0.0054212734793081035,0.27318677725912754,34304.0,0.008455197169563097
Intracellular Monoatomic Ion Homeostasis (GO:0006873),19,0.005434725574837503,0.3373750355094651,31669.0,0.008471320093729516
Positive Regulation Of Embryonic Development (GO:0040019),14,0.005455573129591397,0.3928141105978852,29161.5,0.00849894553979874
Negative Regulation Of Protein Depolymerization (GO:1901880),21,0.00546411554247888,0.3206736168017239,31123.0,0.008507380810270493
Negative Regulation Of T Cell Activation (GO:0050868),46,0.005480055276484462,0.21660784593110505,37235.0,0.008523787724940687
Entrainment Of Circadian Clock By Photoperiod (GO:0043153),22,0.005480920856956346,0.3131703430762336,29313.0,0.008523787724940687
Regulation Of Muscle Contraction (GO:0006937),29,0.0054934622266565114,0.27269155638099996,29766.0,0.008538409860860406
Establishment Or Maintenance Of Epithelial Cell Apical/Basal Polarity (GO:0045197),35,0.005525273774506171,0.24803034657818424,32213.0,0.008582949552630944
Regulation Of Neutrophil Chemotaxis (GO:0090022),22,0.00553888721911907,0.31271767618926904,33548.0,0.008599185636988511
Positive Regulation Of Macrophage Derived Foam Cell Differentiation (GO:0010744),17,0.005548847579283194,0.35564862870063385,25123.0,0.00860973497755293
Positive Regulation Of Viral Genome Replication (GO:0045070),28,0.005561769966158308,0.27704545551551296,36241.5,0.008624359575974412
RNA Polyadenylation (GO:0043631),23,0.005564614358762902,0.30565026009711105,34187.0,0.008624359575974412
Potassium Ion Import Across Plasma Membrane (GO:1990573),41,0.005574953156050567,0.22888872260968518,35452.0,0.008634878600491827
Positive Regulation Of Mitochondrion Organization (GO:0010822),53,0.005577750625391228,0.2013141235767859,34802.0,0.008634878600491827
"Maturation Of 5.8S rRNA From Tricistronic rRNA Transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000466)",21,0.00560118956496941,0.31958196758626967,30307.0,0.008666231863888962
Receptor Signaling Pathway Via STAT (GO:0097696),31,0.005605896327294576,0.26301602590257744,36931.0,0.008668583291780128
Tail-Anchored Membrane Protein Insertion Into ER Membrane (GO:0071816),5,0.005610689210972706,0.6304484626413892,20983.0,0.008671065144230545
Cellular Response To Unfolded Protein (GO:0034620),16,0.0056388996459522875,0.36577882116290417,27137.0,0.00870971438784226
Positive Regulation Of Proteolysis Involved In Protein Catabolic Process (GO:1903052),29,0.005668408978829892,0.2715149775124389,33712.0,0.008750324870838426
Nucleic Acid Phosphodiester Bond Hydrolysis (GO:0090305),21,0.00567530993408641,0.3190015250842211,33417.0,0.008756008519974495
Positive Regulation Of Small Molecule Metabolic Process (GO:0062013),32,0.005692250202463031,0.25832814600866494,31490.5,0.008777145734366719
Cell-Cell Adhesion Mediated By Cadherin (GO:0044331),26,0.005695464051896051,0.286558398826975,36842.0,0.008777145734366719
Response To Copper Ion (GO:0046688),21,0.005737863754059692,0.3185168745637197,29819.0,0.008837479847702357
Organelle Disassembly (GO:1903008),49,0.005754163024293731,0.20846503322211862,39171.0,0.008847043914947906
Positive Regulation Of Telomerase Activity (GO:0051973),33,0.005756035936448248,0.25399205392034363,29900.0,0.008847043914947906
Maintenance Of Protein Location In Nucleus (GO:0051457),18,0.005756831283783755,0.34387472047675793,30225.5,0.008847043914947906
Heart Morphogenesis (GO:0003007),56,0.0057570837240653655,0.19499421489837998,39526.5,0.008847043914947906
Positive Regulation Of Cation Transmembrane Transport (GO:1904064),17,0.0057609840943915564,0.35380695197816225,23761.0,0.008848038812391323
Vasculature Development (GO:0001944),16,0.00586311648453922,0.36380214297806235,30689.0,0.008999817628638081
Positive Regulation Of Homotypic Cell-Cell Adhesion (GO:0034112),15,0.005872875481168271,0.3756441151673272,29905.0,0.009002232186680425
Regulation Of Protein Kinase C Signaling (GO:0090036),16,0.005873323463336727,0.3637137650491431,30501.5,0.009002232186680425
Nucleosome Disassembly (GO:0006337),16,0.005874618430646234,0.36370256221308295,26315.5,0.009002232186680425
Nitric Oxide Metabolic Process (GO:0046209),14,0.005892127100153022,0.3886488724125521,18613.5,0.009023978441675799
Autophagosome Maturation (GO:0097352),42,0.005906446069944091,0.22434147024017037,39890.5,0.00904081784482157
mRNA Polyadenylation (GO:0006378),22,0.005920713336434497,0.3098369041206267,32143.5,0.00905755920984355
Organophosphate Ester Transport (GO:0015748),23,0.0059281964136778074,0.30297438171188673,25719.0,0.009063909075437682
Regulation Of Fibroblast Migration (GO:0010762),18,0.005964630946790868,0.3421762813810135,32086.5,0.009114492233298405
Lymphocyte Chemotaxis (GO:0048247),43,0.005987219656438586,0.22129692731567852,33640.0,0.00914387280489217
Negative Regulation Of MAP Kinase Activity (GO:0043407),50,0.006018611746497421,0.20507874525585978,36742.5,0.009186657660198085
Regulation Of Protein Sumoylation (GO:0033233),17,0.00602753883706929,0.35157632062982536,34373.0,0.009190422295457296
Regulation Of Protein Processing (GO:0070613),24,0.006027835799667579,0.29590375084235443,30749.0,0.009190422295457296
Negative Regulation Of Insulin Secretion (GO:0046676),15,0.006084335457772233,0.37378396500102895,21843.0,0.009269487554745008
